_time,_value
2022-07-25T02:00:00Z,2.278103524
2022-07-04T21:45:00Z,2.387696875
2022-06-14T17:45:00Z,1.8431812276000001
2022-07-28T14:30:00Z,9.4926312992
2022-07-29T13:00:00Z,11.3546717448
2022-06-22T05:30:00Z,12.0972991699
2022-06-12T10:45:00Z,2.408924526
2022-08-13T14:45:00Z,2.6234205449
2022-08-12T04:45:00Z,10.8725186557
2022-07-02T04:45:00Z,2.2881071504
2022-08-02T05:30:00Z,11.0472912638
2022-07-25T12:15:00Z,24.7208559021
2022-07-18T04:15:00Z,10.2776741964
2022-06-11T10:15:00Z,3.0668811144
2022-08-11T07:30:00Z,12.1523089417
2022-06-14T11:45:00Z,8.4822768229
2022-07-12T12:15:00Z,10.8970116801
2022-07-14T20:30:00Z,3.2519627159
2022-07-24T21:00:00Z,2.349205721
2022-06-19T18:00:00Z,1.8941988449
2022-06-14T18:15:00Z,1.91811073
2022-07-13T12:30:00Z,13.5082701457
2022-06-30T06:45:00Z,25.9328475749
2022-08-02T15:15:00Z,6.7220825806
2022-08-01T11:30:00Z,17.963105306
2022-08-08T13:15:00Z,13.381853789200001
2022-06-09T12:15:00Z,11.1350347982
2022-07-21T12:00:00Z,11.0998898193
2022-07-13T05:30:00Z,12.2953551131
2022-06-13T05:45:00Z,13.4451312358
2022-07-28T18:45:00Z,2.3272020833
2022-06-25T17:00:00Z,1.9697736247000002
2022-07-29T12:45:00Z,10.6030804688
2022-06-27T19:45:00Z,2.057160319
2022-07-26T14:45:00Z,5.498259257
2022-07-10T11:45:00Z,2.2828622668
2022-06-26T05:15:00Z,2.1106696737
2022-06-25T13:15:00Z,2.2477084941
2022-06-27T17:15:00Z,1.7764731384
2022-06-24T18:30:00Z,2.1013538524
2022-06-26T12:00:00Z,2.4529594991
2022-06-17T16:15:00Z,2.363623924
2022-08-11T22:30:00Z,6.7882260254
2022-07-04T17:45:00Z,2.3019023905
2022-08-06T18:45:00Z,3.7590013671999998
2022-07-20T03:30:00Z,9.7220139811
2022-06-11T10:45:00Z,2.1820853076
2022-07-05T19:00:00Z,6.5442082242
2022-06-12T20:30:00Z,2.2506711833
2022-06-24T23:00:00Z,2.1012307454
2022-06-23T20:30:00Z,2.5448970823
2022-06-08T19:45:00Z,2.1651437575
2022-06-13T14:45:00Z,7.6109713643
2022-07-14T01:15:00Z,3.2819768107
2022-06-28T09:30:00Z,24.745917334
2022-06-08T11:00:00Z,9.3059580962
2022-06-13T13:15:00Z,12.7348585584
2022-08-15T03:30:00Z,2.6312700277000003
2022-06-25T02:30:00Z,2.6719946289000003
2022-08-03T17:45:00Z,3.6766641459000002
2022-07-03T21:15:00Z,2.3339424479
2022-07-05T05:30:00Z,14.66177854
2022-06-10T12:45:00Z,21.6286854991
2022-07-08T19:30:00Z,2.8035075521
2022-08-07T19:00:00Z,2.4713177246
2022-08-08T23:15:00Z,2.0576776693
2022-07-10T16:30:00Z,2.1410280741
2022-07-29T23:15:00Z,2.6772126069
2022-07-20T13:00:00Z,26.2246342611
2022-07-06T14:45:00Z,29.7477204927
2022-08-04T15:15:00Z,9.5442273844
2022-08-14T00:00:00Z,2.5802572784
2022-08-03T11:00:00Z,13.9006884429
2022-06-18T18:00:00Z,2.1172760559
2022-06-14T01:15:00Z,1.8686070683
2022-06-23T23:00:00Z,2.1992490234
2022-07-21T23:45:00Z,2.8611355275
2022-07-02T23:30:00Z,2.6213974996
2022-07-19T07:15:00Z,12.5089084595
2022-07-04T01:30:00Z,2.199862915
2022-08-13T10:30:00Z,3.5231511719
2022-08-06T00:30:00Z,2.4568149593
2022-06-22T03:15:00Z,2.2924407759
2022-08-05T13:30:00Z,19.6897111858
2022-08-04T22:45:00Z,3.6033716565000002
2022-07-18T03:45:00Z,9.5544429914
2022-06-27T23:30:00Z,2.1435582191
2022-07-27T03:45:00Z,2.0443869283
2022-07-12T15:15:00Z,4.8910499268
2022-06-12T22:30:00Z,2.5559320552
2022-07-22T00:45:00Z,3.2734515212
2022-06-29T16:30:00Z,9.4496263855
2022-07-08T21:15:00Z,2.0566506104
2022-06-23T05:15:00Z,9.8998146383
2022-07-02T21:45:00Z,2.3317561035
2022-07-23T02:45:00Z,2.092477181
2022-07-30T23:30:00Z,2.1611919596
2022-07-05T15:00:00Z,8.1501097943
2022-08-06T03:00:00Z,2.2772849111
2022-07-17T05:30:00Z,2.9749676114
2022-06-12T20:00:00Z,3.1611000059
2022-07-27T02:45:00Z,2.1256935628
2022-06-15T18:00:00Z,7.4968843892
2022-07-04T15:00:00Z,6.1765707124
2022-08-12T17:00:00Z,2.4450688639
2022-06-17T06:45:00Z,10.3454431274
2022-06-24T14:30:00Z,5.2694984510000005
2022-07-06T00:45:00Z,5.5090592367
2022-07-05T02:30:00Z,2.3434080068
2022-07-04T23:45:00Z,2.2577468587
2022-08-15T13:15:00Z,15.8151998698
2022-07-13T08:00:00Z,13.3445123698
2022-06-17T15:00:00Z,6.4930623047000005
2022-07-30T23:15:00Z,2.2502205648
2022-08-01T04:30:00Z,10.8591616263
2022-08-10T09:30:00Z,25.3893303711
2022-06-09T05:00:00Z,9.0449545064
2022-07-23T15:15:00Z,2.3851486348
2022-06-09T18:00:00Z,1.9335082784000002
2022-06-18T20:00:00Z,3.2892610088
2022-07-26T01:15:00Z,6.6531911886
2022-06-18T00:45:00Z,2.3126492188
2022-07-01T05:00:00Z,10.6049550374
2022-06-15T10:30:00Z,11.7125384521
2022-07-24T19:00:00Z,2.5947799479
2022-07-20T03:45:00Z,9.0911583195
2022-07-09T19:45:00Z,2.6590789456
2022-07-18T20:15:00Z,3.8735845516
2022-06-08T16:00:00Z,2.5452957784
2022-07-21T08:45:00Z,12.8332347033
2022-06-18T07:00:00Z,2.748183728
2022-08-14T01:30:00Z,2.4673550741
2022-07-26T10:45:00Z,7.4441869141
2022-07-16T21:15:00Z,3.0335602333
2022-07-10T01:15:00Z,2.056775921
2022-06-26T21:15:00Z,2.1778272135
2022-07-10T00:00:00Z,2.5737575846
2022-07-02T16:30:00Z,2.3807262655
2022-06-22T00:15:00Z,2.302234432
2022-07-24T07:00:00Z,2.7809674093
2022-07-29T23:30:00Z,2.392202422
2022-07-10T04:15:00Z,2.1615919769
2022-07-10T04:45:00Z,2.1083899984
2022-07-29T08:45:00Z,8.7007670772
2022-06-22T16:30:00Z,9.9605821818
2022-07-07T06:30:00Z,10.9724636719
2022-08-03T20:00:00Z,4.0857997331
2022-06-30T18:30:00Z,3.9574207031
2022-06-13T14:00:00Z,12.1905961304
2022-07-20T08:30:00Z,14.6561864898
2022-06-14T02:30:00Z,2.3591368734
2022-07-29T00:30:00Z,2.3759269409
2022-07-24T11:15:00Z,2.5253979574
2022-07-25T21:45:00Z,6.6880314453
2022-07-27T06:00:00Z,9.8899229777
2022-06-24T03:30:00Z,2.5564150392
2022-07-19T07:00:00Z,12.9567110514
2022-07-14T22:15:00Z,3.0678930199
2022-06-12T14:00:00Z,2.0810536773
2022-06-28T23:45:00Z,2.1730913818
2022-07-06T06:30:00Z,11.3334577433
2022-06-29T20:15:00Z,5.5810267376
2022-08-03T01:00:00Z,2.8489617267
2022-08-03T12:00:00Z,9.3278681396
2022-08-05T23:45:00Z,2.2470912354
2022-06-26T17:30:00Z,1.8597193461
2022-06-25T04:00:00Z,1.7719994703
2022-07-26T13:15:00Z,8.1405284971
2022-06-30T08:30:00Z,23.4386111598
2022-07-05T04:00:00Z,2.000006722
2022-07-11T04:00:00Z,2.4140429667
2022-08-10T11:45:00Z,12.2070199498
2022-06-26T06:45:00Z,2.5653091288
2022-06-15T19:45:00Z,5.453406486
2022-07-27T23:45:00Z,6.4162414614
2022-07-02T15:00:00Z,2.0938049906
2022-08-06T07:45:00Z,2.5341244275
2022-07-25T13:45:00Z,11.6248184267
2022-08-04T08:30:00Z,7.4734485495000005
2022-07-21T01:15:00Z,4.8753424956
2022-08-11T10:30:00Z,14.2221882813
2022-06-08T11:15:00Z,8.4993355184
2022-07-28T23:15:00Z,2.3774683411
2022-06-20T09:30:00Z,12.1360274862
2022-07-24T00:30:00Z,2.1553530762
2022-07-14T17:45:00Z,2.881098173
2022-06-08T03:15:00Z,1.8163405762
2022-08-12T22:15:00Z,2.5399533948
2022-06-19T00:45:00Z,2.329329542
2022-08-15T00:45:00Z,2.4768222084
2022-06-17T22:15:00Z,2.3258305623
2022-06-09T08:15:00Z,22.4998310133
2022-08-11T14:30:00Z,20.8603499634
2022-07-17T03:00:00Z,2.8279828735
2022-07-10T12:45:00Z,2.5837772554000003
2022-06-08T06:30:00Z,11.2166402262
2022-08-04T10:00:00Z,9.0562557292
2022-07-20T09:00:00Z,14.6384236934
2022-07-17T18:00:00Z,4.2267559937
2022-08-01T19:15:00Z,2.6054072876000003
2022-07-26T06:15:00Z,10.2266297376
2022-07-13T13:00:00Z,12.8785975688
2022-07-04T07:45:00Z,11.0416110535
2022-06-18T06:00:00Z,2.233333555
2022-07-14T13:30:00Z,24.150960081
2022-07-13T06:30:00Z,11.3142175028
2022-07-08T12:30:00Z,11.6738659993
2022-06-18T01:30:00Z,2.3441705701
2022-06-19T14:30:00Z,2.258017336
2022-07-05T20:15:00Z,6.0423639835
2022-06-19T13:15:00Z,2.3020743754
2022-06-07T23:15:00Z,1.8163405762
2022-06-27T10:15:00Z,8.8860225545
2022-07-01T09:15:00Z,10.7113891276
2022-07-09T17:30:00Z,2.4360362366
2022-06-11T02:45:00Z,2.1647985107
2022-08-04T11:45:00Z,6.1902237447
2022-06-22T17:30:00Z,8.8808757975
2022-07-06T22:15:00Z,2.914679538
2022-07-14T20:45:00Z,3.3935685351
2022-07-18T22:45:00Z,2.6804381307
2022-08-11T09:00:00Z,13.2048812635
2022-06-25T08:15:00Z,2.946507673
2022-07-05T10:45:00Z,9.8563802126
2022-07-12T09:30:00Z,11.7428582974
2022-06-13T20:15:00Z,2.1832333025
2022-07-19T07:30:00Z,13.1253664467
2022-08-05T17:30:00Z,2.4789507394
2022-06-27T01:45:00Z,1.8972404785
2022-06-10T16:30:00Z,1.8854984047
2022-06-13T06:00:00Z,12.8309542033
2022-07-28T00:45:00Z,6.4766876094
2022-08-14T04:15:00Z,2.5982265625
2022-08-06T01:00:00Z,2.4309618116
2022-07-11T23:15:00Z,2.3372121765
2022-07-01T04:15:00Z,3.2374546753
2022-07-25T20:15:00Z,6.7959327856
2022-07-11T20:15:00Z,2.1126753296
2022-07-24T17:45:00Z,2.3206489868
2022-08-12T22:45:00Z,2.4806272862
2022-06-14T16:15:00Z,2.0935169902
2022-07-10T08:30:00Z,2.2222234477000002
2022-07-06T19:15:00Z,2.9005802409
2022-06-17T12:30:00Z,24.9024008972
2022-07-23T04:45:00Z,1.8514008389
2022-06-14T17:00:00Z,1.9767490519000002
2022-08-14T06:00:00Z,2.3512443152999998
2022-08-15T08:00:00Z,23.593872330700002
2022-07-21T20:45:00Z,2.5327672709
2022-07-26T05:15:00Z,11.3374417557
2022-06-16T23:15:00Z,1.8628768605000001
2022-06-24T02:00:00Z,2.5917554873
2022-06-10T11:15:00Z,21.2004594157
2022-08-14T12:15:00Z,4.0535864665
2022-08-14T19:45:00Z,2.9187707435
2022-07-09T00:00:00Z,2.1696330322
2022-07-20T07:00:00Z,13.0806264913
2022-06-21T12:45:00Z,10.3525228097
2022-06-14T10:00:00Z,8.3001985453
2022-06-27T06:30:00Z,19.8379407898
2022-06-19T05:30:00Z,2.2028777262
2022-06-15T04:15:00Z,1.7941806437
2022-07-09T11:00:00Z,2.1471043294
2022-06-27T09:45:00Z,9.4768406453
2022-06-16T05:30:00Z,21.6528491333
2022-06-17T14:45:00Z,6.6588493042
2022-08-14T09:15:00Z,2.9565065755
2022-07-01T02:30:00Z,3.3866973857
2022-06-11T05:15:00Z,2.0002210124
2022-07-27T04:00:00Z,2.1286688619
2022-07-09T04:00:00Z,2.3805497742
2022-08-06T09:15:00Z,2.2041740975
2022-06-28T06:00:00Z,23.249373468
2022-07-19T01:15:00Z,2.5726814657
2022-06-10T14:30:00Z,17.9236604167
2022-06-14T23:15:00Z,1.9669795898
2022-07-06T10:30:00Z,22.9635276204
2022-07-23T10:45:00Z,3.1890742188
2022-08-11T14:00:00Z,20.7419467021
2022-06-15T03:15:00Z,2.0924691406
2022-06-30T05:30:00Z,10.6434901489
2022-07-04T10:00:00Z,9.2721775411
2022-07-08T03:15:00Z,2.2463453654
2022-08-12T11:15:00Z,25.3381224609
2022-07-09T16:00:00Z,2.1675670573
2022-08-06T09:00:00Z,2.7857569906
2022-07-06T01:30:00Z,5.4271338354
2022-07-14T02:45:00Z,3.8959014535
2022-08-02T15:00:00Z,8.0872042847
2022-06-29T06:30:00Z,11.3205107239
2022-07-09T06:15:00Z,2.1514938151
2022-07-19T17:15:00Z,12.0246177409
2022-07-04T04:15:00Z,2.3797505636
2022-06-18T21:00:00Z,2.1643765706
2022-07-13T09:45:00Z,13.2370589844
2022-07-12T01:30:00Z,1.9102973714
2022-06-21T14:30:00Z,5.3168839844
2022-07-02T07:45:00Z,4.3815511068
2022-06-15T03:00:00Z,2.3769791229
2022-07-06T04:15:00Z,5.5275383341
2022-08-05T09:15:00Z,19.7258037846
